season,seasontype,team_id,game_id,game_dt,status_id,player_id,player_name,game_optimized,p_t_poss_48,p_mp_48,p_usg,p_pts_100,p_tspct,p_efg,p_fga_rim_100,p_fga_mid_100,p_fg2a_100,p_fg3a_100,p_fta_100,p_fgpct_rim,p_fgpct_mid,p_fg2pct,p_fg3pct,p_ftpct,p_ast_100,p_tov_100,p_orb_100,p_drb_100,p_stl_100,p_blk_100,oepm,depm,epm
2026,2,1610612749,22501191,2026-04-12,3,203507,Giannis Antetokounmpo,0,97.6734,28.2812,0.355422,43.9282,0.633409,0.607583,18.2607,6.51734,25.5738,2.18555,15.7198,0.730047,0.383952,0.62205,0.292206,0.648609,9.17205,4.83566,4.01561,12.3329,1.47758,1.08699,5.66673,1.25733,6.92407
2026,5,1610612744,52500211,2026-04-17,3,203552,Seth Curry,0,97.1337,15.0871,0.156063,20.476,0.587402,0.563165,1.57224,6.4361,7.73149,8.71369,2.23669,0.639271,0.458012,0.504182,0.410333,0.873318,3.15113,1.44445,1.15162,3.94709,1.39705,0.303295,-0.754069,-1.15177,-1.90584
2026,2,1610612749,22501191,2026-04-12,3,203648,Thanasis Antetokounmpo,0,100.162,7.32117,0.153411,13.273,0.542281,0.519883,7.57602,1.46329,8.61732,1.57798,4.64275,0.613634,0.348095,0.54766,0.245463,0.575576,3.60719,3.07425,3.62217,5.50594,2.07184,1.1294,-4.42928,-0.293118,-4.7224
2026,2,1610612758,22501200,2026-04-12,3,203897,Zach LaVine,0,97.9908,26.0812,0.235381,28.8607,0.599954,0.562031,5.21085,6.83218,11.9049,9.83717,5.25073,0.640648,0.42211,0.548442,0.385651,0.842019,4.03588,3.09353,0.361492,4.01351,1.11689,0.300457,0.742807,-1.31292,-0.570111
2026,4,1610612752,42500212,2026-05-06,1,203903,Jordan Clarkson,0,93.5746,13.6589,0.206277,23.4716,0.548312,0.512568,6.32939,7.02955,14.1927,5.40145,4.11216,0.596625,0.460449,0.514363,0.338569,0.82315,3.55987,2.7514,2.33992,2.67333,1.20016,0.315893,-1.07988,-0.699204,-1.77908
2026,2,1610612749,22501191,2026-04-12,3,203914,Gary Harris,0,97.0979,13.9804,0.0927468,9.979,0.55081,0.538259,1.4025,1.52323,2.72464,6.03757,0.673281,0.596705,0.381815,0.502433,0.369617,0.811413,3.42743,1.22819,1.19197,3.13888,1.89423,0.632669,-3.1766,-0.0360368,-3.21263
2026,4,1610612757,42500155,2026-04-28,3,203924,Jerami Grant,0,99.3662,27.1019,0.217476,25.7202,0.575735,0.518188,6.35322,3.38958,9.72862,9.48784,7.09171,0.59248,0.378299,0.486624,0.367035,0.818518,2.26894,2.91533,1.35972,3.76113,1.25663,0.969388,-0.295408,-1.03435,-1.32976
2026,2,1610612758,22501200,2026-04-12,3,203926,Doug McDermott,0,99.8915,19.1803,0.150798,18.4321,0.581157,0.574701,1.26707,1.34789,2.26726,13.2715,0.725838,0.621511,0.391944,0.518621,0.389521,0.787868,2.58001,1.42352,0.730244,2.90441,0.704197,0.285846,-1.33923,-2.08286,-3.42209
2026,4,1610612743,42500166,2026-04-30,3,203932,Aaron Gordon,0,99.7846,29.0135,0.201679,23.9976,0.599935,0.558722,6.23865,3.92568,9.89809,7.22726,6.53368,0.674987,0.392401,0.588443,0.345345,0.743991,4.66768,1.78791,2.77141,6.85309,0.982716,0.504106,1.37215,0.386694,1.75885
2026,4,1610612747,42500221,2026-05-05,3,203935,Marcus Smart,0,94.3271,34.3597,0.163145,16.295,0.554925,0.504962,1.99988,3.61127,5.31876,7.4454,4.3591,0.581965,0.440942,0.505079,0.336585,0.780934,6.10259,3.02117,0.959138,3.84627,2.44855,0.856014,-0.816789,2.17128,1.35449
